LARSA	AudioTools 	v17.23 (2) iPad battery  10%	2025/6/28 17:01	iMM-6C L Mic低范围	2EFF2T3B-3CD5-42D8-9221-2ADE9AG0FDE2
Average Magnitude Test
Smoothing	Compensation
None	Applied
Frequency	Magnitude
10	-0.3
10.1	-0.29
10.3	1.37
10.4	1.41
10.6	0.13
10.7	-0.61
10.9	-1.11
11.1	-2.39
11.2	-2.71
11.4	-3.51
11.6	-2.45
11.7	-2.56
11.9	-0.83
12.1	-0.34
12.2	-3.12
12.4	-4.82
12.6	-0.29
12.8	-0.26
13	-1.68
13.2	-1.25
13.3	-0.8
13.5	-0.14
13.7	0.1
13.9	1.74
14.1	2.08
14.3	2.47
14.6	2.65
14.8	2.78
15	2.86
15.2	2.1
15.4	2.36
15.6	4.15
15.9	9.17
16.1	11.57
16.3	13.35
16.6	10.99
16.8	11.1
17.1	11.05
17.3	10.93
17.6	11.6
17.8	11.55
18.1	11.96
18.3	12.65
18.6	12.42
18.9	13.04
19.2	13.26
19.4	13.44
19.7	13.66
20	13.97
20.3	14.36
20.6	14.64
20.9	15.34
21.2	15.8
21.5	16.15
21.8	16.28
22.1	16.79
22.4	17.02
22.8	17.45
23.1	17.72
23.4	18.12
23.8	18.45
24.1	18.44
24.5	18.74
24.8	18.75
25.2	18.58
25.6	18.99
25.9	18.66
26.3	18.48
26.7	18.44
27.1	17.98
27.5	18.03
27.9	18.13
28.3	17.77
28.7	17.63
29.1	17.49
29.5	16.95
30	16.84
30.4	16.97
30.8	16.85
31.3	16.72
31.7	16.54
32.2	16.56
32.7	16.56
33.2	16.49
33.6	16.21
34.1	16.48
34.6	16.45
35.1	16.43
35.6	16.39
36.2	16.51
36.7	16.76
37.2	16.32
37.8	16.17
38.3	16.15
38.9	16.04
39.4	15.39
40	15.38
40.6	15.22
41.2	15.19
41.8	15.32
42.4	15.51
43	16.26
43.6	17.45
44.3	18.81
44.9	20.28
45.6	22.06
46.2	23.24
46.9	23.14
47.6	22.11
48.3	20.14
49	18.2
49.7	20.16
50.4	21.41
51.1	20.92
51.9	20.19
52.6	18.9
53.4	17.75
54.2	16.89
55	15.52
55.8	14.75
56.6	14.28
57.4	14.01
58.2	14.22
59.1	13.92
59.9	13.88
60.8	14.19
61.7	14.27
62.6	14.46
63.5	14.44
64.4	14.08
65.4	13.59
66.3	12.94
67.3	12.59
68.3	12.68
69.2	12.65
70.2	13.32
71.3	13.63
72.3	14.03
73.4	13.71
74.4	13.55
75.5	13.25
76.6	12.62
77.7	12.24
78.9	12.15
80	11.87
81.2	12.49
82.3	13.87
83.5	14.68
84.8	15.24
86	13.61
87.2	13.46
88.5	13.93
89.8	14.13
91.1	14.73
92.4	15.66
93.8	17.29
95.1	17.9
96.5	17.4
97.9	17.39
99.3	17.45
100.8	16.96
102.3	16.35
103.7	16.12
105.3	16.15
106.8	16.67
108.3	17.83
109.9	19.22
111.5	21.05
113.1	21.82
114.8	20.45
116.5	19.27
118.1	17.34
119.9	16.79
121.6	15.57
123.4	14.38
125.2	12.98
127	10.19
128.8	8.78
130.7	10.58
132.6	7.88
134.5	3.64
136.5	-4.19
138.5	-1.73
140.5	3.09
142.5	6.15
144.6	11.82
146.7	15.62
148.9	15.96
151	15.05
153.2	14.29
155.4	14.64
157.7	14.86
160	15.31
162.3	15.68
164.7	15.28
167.1	15.65
169.5	16.73
172	17.59
174.5	18.09
177	15.84
179.6	13.98
182.2	13.09
184.9	11.68
187.5	11.16
190.3	8.99
193	6.33
195.8	2.99
198.7	0.53
201.6	-1.42
204.5	0.81
207.5	2.59
210.5	4.89
213.6	7.31
216.7	11.23
219.8	13.81
223	15.25
226.3	13.77
229.6	9.54
232.9	5.08
236.3	5
239.7	5.44
243.2	6.39
246.8	6.77
250.3	10.37
254	13.75
257.7	13.94
261.4	12.3
265.2	12.03
269.1	12.13
273	11
277	7.83
281	4.62
285.1	2.29
289.2	6.22
293.4	9.49
297.7	8.95
302	8.92
306.4	5.58
310.9	7.6
315.4	9.21
320	9.67
324.7	8.23
329.4	5.76
334.2	4.98
339	5.17
344	1.18
349	1.6
354	4.46
359.2	6.09
364.4	4.38
369.7	6.49
375.1	9.42
380.5	10.48
386.1	13.39
391.7	12.2
397.4	12.02
403.2	8.75
409	7.26
415	5.27
421	10.74
427.1	15.77
433.4	17.61
439.7	14.18
446.1	12.74
452.5	12.91
459.1	14.91
465.8	15.71
472.6	10.62
479.5	10.91
486.4	10.38
493.5	12.84
500.7	13.84
508	12.22
515.4	12.18
522.9	12.53
530.5	13
